Task A1: Lowest Temperature in Japan in Feb
Temperature, Year, Month, Country, Country_Code
-1.28 (C), 29.70 (F), 2012, Feb, Japan, JPN

Task A1: Highest Temperature in Mexico in Jun
Temperature, Year, Month, Country, Country_Code
26.54 (C), 79.77 (F), 2011, Jun, Mexico, MEX

