Task A2: Lowest Temperature in Finland in 2001
Temperature, Year, Month, Country, Country_Code
-12.21 (C), 10.02 (F), 2001, Feb, Finland, FIN

Task A2: Lowest Temperature in China in 2016
Temperature, Year, Month, Country, Country_Code
20.54 (C), 68.97 (F), 2016, Jul, China, CHN

